time,Volume,Tot Inflow Vol,Tot Outflow Vol,Overflow Vol,Evapouration,Rain,Lake Level,Surface Area,Black Ice,Snow,White Ice,Max Temp,Min Temp,Surface Temp,Daily Qsw,Daily Qe,Daily Qh,Daily Qlw,Light,Max dT/dz
2009-03-25 24:00:00,  164248.176657,       0.000000,       0.000000,     267.109687,       0.000000,     258.269041,      22.555200,      13.593107,       0.000000,       0.000000,       0.000000,       4.328116,       4.328116,       4.328116,150587569002264.000000,       0.000000,79675204195989.172000,-15488550435874.633000,       0.076681,       0.440061
2009-03-26 24:00:00,  164241.251866,       0.000000,       0.000000,       0.000000,      -6.695598,       0.000000,      22.554707,      13.592811,       0.000000,       0.000000,       0.000000,       4.587303,       4.587303,       4.587303,211633774582053.030000,-16424302944511.885000,18268589638297.836000,-33869973519900.898000,     180.199045,       0.440083
2009-03-27 24:00:00,  164220.378485,       0.000000,       0.000000,       0.000000,     -20.182085,       0.000000,      22.553223,      13.591916,       0.000000,       0.000000,       0.000000,       4.706539,       4.706539,       4.706539,204162425718650.590000,-49506654679977.484000,-30800321575797.812000,-40586784775972.648000,     173.841239,       0.440080
2009-03-28 24:00:00,  164214.377415,       0.000000,       0.000000,       0.000000,     -32.985773,      27.183832,      22.552796,      13.591659,       0.000000,       0.000000,       0.000000,       4.629963,       4.629963,       4.629963,199804260539219.030000,-80914101404670.234000,-77062347054344.094000,-93267828883036.703000,     170.141528,       0.440079
2009-03-29 24:00:00,  164222.015154,       0.000000,       0.000000,       0.000000,     -33.390813,      40.774976,      22.553339,      13.591986,       0.000000,       0.000000,       0.000000,       4.582846,       4.582846,       4.582846,235578691398458.120000,-81907663863213.484000,-128249986558568.450000,-56203094992331.164000,     200.608720,       0.440080
2009-03-30 24:00:00,  164203.232925,       0.000000,       0.000000,       0.000000,     -18.159087,       0.000000,      22.552003,      13.591181,       0.000000,       0.000000,       0.000000,       4.599335,       4.599335,       4.599335,230384958849458.160000,-44544240852184.578000,-60053487873638.797000,-113134336970141.720000,     196.181234,       0.440077
2009-03-31 24:00:00,  164248.176657,       0.000000,       0.000000,      80.700793,     -14.443013,     135.911808,      22.555200,      13.593107,       0.000000,       0.000000,       0.000000,       4.634196,       4.634196,       4.634196,98011913757344.687000,-35428711429743.094000,-21416823984717.906000,-16340959971257.229000,      83.465680,       0.440077
2009-04-01 24:00:00,  164221.532088,       0.000000,       0.000000,       0.000000,     -25.762702,       0.000000,      22.553305,      13.591965,       0.000000,       0.000000,       0.000000,       4.667402,       4.667402,       4.667402,149469721126420.190000,-63195908554256.477000,-23506363996609.812000,-39085640380210.344000,     127.268443,       0.440080
2009-04-02 24:00:00,  164224.399173,       0.000000,       0.000000,       0.000000,     -10.820007,      13.591965,      22.553509,      13.592088,       0.000000,       0.000000,       0.000000,       4.797374,       4.797374,       4.797374,175332212037143.090000,-26541476195959.004000,438160725104.130680,-58760418448884.922000,     149.302031,       0.440080
2009-04-03 24:00:00,  164234.966772,       0.000000,       0.000000,       0.000000,     -16.967104,      27.184176,      22.554260,      13.592541,       0.000000,       0.000000,       0.000000,       4.976794,       4.976794,       4.976794,250616910418798.370000,-41620304899509.469000,-9776915770099.851600,-74278361926495.406000,     213.407878,       0.440082
2009-04-04 24:00:00,  164222.233948,       0.000000,       0.000000,       0.000000,     -12.310888,       0.000000,      22.553355,      13.591995,       0.000000,       0.000000,       0.000000,       5.147219,       5.147219,       5.147219,242502253119257.690000,-30198607932415.758000,-9017123309247.263700,-84554904437308.078000,     206.491120,       0.440080
2009-04-05 24:00:00,  164226.669054,       0.000000,       0.000000,       0.000000,     -22.896026,      27.183991,      22.553670,      13.592185,       0.000000,       0.000000,       0.000000,       5.141374,       5.141374,       5.141374,98201285915838.234000,-56163951962532.250000,-27194365583433.391000,-18209487662404.102000,      83.621936,       0.440081
2009-04-06 24:00:00,  164184.648477,       0.000000,       0.000000,       0.000000,     -40.627048,       0.000000,      22.550681,      13.590384,       0.000000,       0.000000,       0.000000,       5.016980,       5.016980,       5.016980,169538550909076.190000,-99658147871315.797000,-107400206048055.050000,-47536315711207.734000,     144.366169,       0.440074
